age,monthly_income,employment_type,credit_score,loan_amount,loan_purpose,existing_emis,dti,loan_tenure,bank_behavior,eligible
44,63511,Salaried,786,1640143,Home,16972,26.72,84,92.5,1
52,137115,Self-Employed,638,821668,Education,14048,10.25,180,63.5,1
51,23605,Self-Employed,865,4167472,Education,76680,100,180,91.5,0
56,115318,Salaried,777,1602151,Personal,57602,49.95,48,84.4,1
28,147453,Salaried,522,219259,Business,66403,45.03,12,19.2,0
37,34810,Self-Employed,308,2394297,Education,27182,78.09,120,5.1,0
47,170394,Salaried,352,2457777,Business,79876,46.88,84,1.8,0
23,56869,Salaried,376,1143128,Home,77373,100,60,26.1,0
22,47955,Salaried,802,249041,Personal,47059,98.13,48,86.6,1
33,76388,Salaried,615,2933309,Car,8787,11.5,84,53.5,1
26,25207,Self-Employed,464,1498650,Home,393,1.56,180,20.8,0
58,174292,Self-Employed,578,779846,Business,61775,35.44,84,39.8,1
53,37031,Self-Employed,326,124474,Business,59454,100,36,9.1,0
30,95807,Self-Employed,369,1863318,Home,12056,12.58,240,4.9,0
56,86312,Self-Employed,517,3519327,Business,61483,71.23,36,29.2,0
40,74766,Self-Employed,664,4822832,Car,44957,60.13,48,71.9,0
37,158521,Salaried,605,2484092,Car,28429,17.93,60,53.1,1
24,104833,Salaried,423,4036752,Business,45909,43.79,24,11.7,0
41,126041,Salaried,318,1883610,Business,52906,41.98,24,7.4,0
45,131185,Self-Employed,556,3580053,Car,44389,33.84,84,40.4,0
54,192164,Salaried,595,2399203,Business,20905,10.88,24,35,1
45,25350,Salaried,321,4160690,Education,53730,100,12,0,0
32,115859,Salaried,749,1680910,Personal,57557,49.68,180,66.4,1
29,83487,Self-Employed,851,4113627,Education,66199,79.29,12,93.9,0
57,163694,Self-Employed,849,758029,Business,47301,28.9,84,86.3,1
59,138853,Salaried,347,2813357,Business,47259,34.04,12,8.6,0
61,68117,Self-Employed,886,1116970,Personal,74801,100,180,100,1
41,116084,Salaried,482,3027577,Business,4574,3.94,60,49.2,1
56,38782,Salaried,734,3255060,Personal,56776,100,36,88.2,0
46,43454,Self-Employed,406,1266953,Car,24737,56.93,60,19.5,0
56,82904,Salaried,487,3238356,Personal,23390,28.21,12,30.7,0
46,144936,Self-Employed,385,2954936,Personal,52330,36.11,12,9.4,0
50,161664,Salaried,755,1578474,Education,71082,43.97,48,62.7,1
39,168245,Salaried,436,919403,Business,53642,31.88,240,4.4,1
39,179276,Self-Employed,635,1269034,Car,21280,11.87,240,49.1,1
23,181668,Salaried,768,3036611,Home,21037,11.58,12,91.1,1
56,180396,Self-Employed,870,500281,Personal,40576,22.49,36,100,1
37,137258,Self-Employed,702,956644,Home,28564,20.81,48,67.6,1
57,126668,Salaried,839,4723024,Business,28087,22.17,24,93.6,1
54,139184,Salaried,371,3204267,Personal,76213,54.76,120,7,0
25,176822,Salaried,323,4376639,Home,12803,7.24,36,3.6,1
54,31566,Salaried,784,4035977,Education,46002,100,12,74.5,0
35,153262,Salaried,355,3436038,Home,66761,43.56,12,2.9,0
42,53333,Salaried,522,3402601,Education,71310,100,36,41.9,0
41,136929,Salaried,478,3506979,Car,78579,57.39,84,24.8,0
29,104571,Salaried,733,3062824,Business,16163,15.46,48,76.1,1
28,135263,Self-Employed,749,1460375,Home,68380,50.55,12,73.7,1
24,147661,Self-Employed,791,630420,Personal,72883,49.36,120,93.2,1
38,40235,Self-Employed,488,4349798,Business,51885,100,24,35.8,0
54,15159,Salaried,877,1937987,Home,36764,100,60,98.1,0
33,158217,Self-Employed,719,4832389,Personal,62126,39.27,180,58.4,1
43,177993,Salaried,548,3247526,Personal,67224,37.77,120,37.4,1
43,119859,Self-Employed,887,3867738,Personal,47055,39.26,180,97.4,1
51,162309,Self-Employed,463,1368154,Personal,51599,31.79,84,27.6,0
59,122507,Salaried,554,866460,Home,78040,63.7,120,47.6,0
59,154316,Self-Employed,775,3786574,Car,39720,25.74,240,80.8,1
29,29743,Self-Employed,716,2214725,Education,44484,100,84,61.1,0
48,61101,Self-Employed,469,2614660,Education,38852,63.59,240,32.9,0
48,136534,Self-Employed,616,4589427,Education,13219,9.68,24,49,1
55,99227,Salaried,473,328747,Car,48865,49.25,24,23.7,0
42,86126,Salaried,769,2475237,Personal,54457,63.23,24,69.3,1
51,71071,Salaried,644,4286901,Personal,36817,51.8,84,54.5,0
54,89763,Self-Employed,744,920670,Business,68993,76.86,24,69.5,0
49,158309,Salaried,317,4680239,Education,52380,33.09,36,12.1,0
54,161721,Self-Employed,369,1402471,Education,50400,31.16,180,9.4,0
26,183785,Salaried,637,4331282,Personal,36258,19.73,180,60.4,1
40,191481,Salaried,891,3475565,Education,48957,25.57,48,84.1,1
25,194838,Salaried,826,3364497,Personal,18281,9.38,240,93.6,1
56,61154,Self-Employed,755,2503820,Personal,77264,100,180,81,0
38,22016,Salaried,568,1930414,Personal,51331,100,12,33,0
49,194760,Salaried,487,288078,Home,45680,23.45,180,24.2,1
51,104678,Salaried,868,3435868,Home,38723,36.99,12,89.4,1
50,127056,Salaried,828,3863209,Home,10162,8,48,86.4,1
27,69238,Salaried,733,2935201,Home,51095,73.8,84,66.5,0
56,73608,Self-Employed,587,93016,Car,11338,15.4,120,45.9,0
58,104081,Salaried,866,2591040,Business,11675,11.22,48,99.6,1
45,177969,Salaried,798,1384996,Business,20080,11.28,180,78.5,1
50,65961,Self-Employed,740,3530112,Personal,13936,21.13,180,75.7,1
52,190829,Self-Employed,602,3039876,Education,10019,5.25,240,51.7,1
56,41917,Salaried,386,1285383,Home,67282,100,84,0,0
54,168808,Salaried,737,3737975,Business,49681,29.43,48,66.4,1
42,42990,Self-Employed,840,3748538,Business,73861,100,24,97.9,0
53,77551,Self-Employed,321,76567,Home,4486,5.78,120,0,0
44,168512,Self-Employed,859,3649467,Car,79864,47.39,36,84.6,1
54,181277,Salaried,816,1161284,Car,19112,10.54,36,94.3,1
24,95811,Salaried,802,2273358,Business,51697,53.96,36,84.9,1
39,70103,Self-Employed,766,4791152,Car,55998,79.88,48,89.3,0
46,187699,Salaried,400,3845788,Home,26576,14.16,24,12.9,1
52,121122,Salaried,882,511365,Business,50100,41.36,60,100,1
24,34008,Self-Employed,440,2383261,Home,21320,62.69,36,16.2,0
61,47402,Self-Employed,437,2643103,Car,65729,100,60,2.3,0
45,199456,Salaried,877,2238409,Home,29144,14.61,120,100,1
53,151865,Self-Employed,527,578742,Car,57326,37.75,240,42.4,0
43,151643,Salaried,580,4481449,Car,77148,50.87,24,52,1
44,162281,Salaried,730,72873,Home,19307,11.9,240,70,1
23,128550,Self-Employed,339,1374447,Car,60598,47.14,84,18.2,0
48,189220,Salaried,818,4837662,Personal,19623,10.37,84,93.3,1
23,106218,Salaried,510,4472801,Home,20249,19.06,36,41.6,1
47,148296,Self-Employed,601,4885805,Personal,73765,49.74,240,51.1,0
38,194767,Salaried,385,755339,Home,72131,37.03,48,3.4,1
61,135779,Salaried,696,1283548,Car,38377,28.26,60,66.5,1
54,144714,Self-Employed,552,4828391,Car,52365,36.19,36,44.9,1
30,47441,Self-Employed,832,2767569,Business,34551,72.83,60,100,0
60,185201,Self-Employed,680,3610274,Business,42926,23.18,180,65.5,1
50,77368,Self-Employed,743,1762238,Personal,38599,49.89,180,65.5,1
47,107122,Salaried,332,2094523,Car,22593,21.09,180,9.1,0
56,59760,Self-Employed,559,4613736,Business,60334,100,84,53.2,0
46,38478,Salaried,533,293761,Car,59893,100,12,52.5,0
45,142881,Self-Employed,814,1040221,Home,42636,29.84,84,84.8,1
34,86854,Salaried,607,4487125,Business,69225,79.7,120,49.6,0
28,109230,Salaried,369,3747235,Personal,40363,36.95,240,0.2,0
57,100716,Salaried,753,485485,Business,55959,55.56,180,70.7,1
41,158252,Salaried,738,1738120,Car,1120,0.71,180,76.5,1
22,113538,Self-Employed,663,3405455,Education,16491,14.52,120,48.3,1
29,30372,Salaried,780,2023744,Education,43638,100,24,96.4,0
37,44796,Salaried,443,4404657,Car,39062,87.2,12,21,0
35,113826,Salaried,323,1880927,Home,5193,4.56,24,4.8,0
33,135592,Salaried,724,2572189,Business,15213,11.22,84,73.4,1
44,108635,Self-Employed,474,992151,Education,79766,73.43,24,38,0
36,126022,Self-Employed,624,526015,Home,17187,13.64,48,56.1,1
49,69040,Self-Employed,647,926611,Car,10040,14.54,36,49.3,1
55,90357,Self-Employed,317,387088,Home,66302,73.38,84,6.2,0
23,93356,Self-Employed,343,3477495,Car,29949,32.08,180,16.2,0
53,31211,Salaried,454,4120936,Business,3527,11.3,84,18.5,0
44,120426,Self-Employed,676,405970,Home,76557,63.57,24,69.1,0
43,20842,Self-Employed,701,4458421,Business,77294,100,60,68.9,0
46,81852,Salaried,524,1836741,Home,18757,22.92,84,38.1,1
43,140737,Self-Employed,516,3306101,Car,25412,18.06,240,30.9,0
43,60968,Self-Employed,867,2022645,Car,14312,23.47,84,92.7,1
27,32508,Salaried,330,4201235,Home,22119,68.04,60,8.5,0
36,168077,Salaried,358,4494279,Car,11804,7.02,12,6.3,1
58,69575,Salaried,652,4049634,Personal,53986,77.59,60,50.8,0
54,165043,Self-Employed,744,2765366,Personal,46545,28.2,60,65.8,1
29,171671,Self-Employed,534,487538,Business,76519,44.57,84,41.2,0
26,81914,Salaried,406,2274615,Personal,29999,36.62,120,21.6,0
60,82055,Self-Employed,490,1200112,Personal,39758,48.45,48,31.1,0
25,102697,Salaried,829,856560,Education,69519,67.69,120,100,1
27,121239,Salaried,882,1350557,Education,3768,3.11,60,83.4,1
53,138106,Self-Employed,865,3526873,Education,1504,1.09,84,97.2,1
51,20355,Self-Employed,544,836872,Education,67986,100,48,25.9,0
56,69120,Salaried,375,2077035,Car,76772,100,180,11.7,0
61,53342,Salaried,846,4424989,Business,8002,15,240,93,1
37,17257,Salaried,566,1746355,Business,75427,100,24,42.9,0
34,42364,Salaried,616,3693003,Personal,38787,91.56,48,37,0
51,171044,Salaried,420,810416,Business,13898,8.13,180,19.2,1
40,126715,Salaried,324,1098581,Personal,10472,8.26,180,4,0
38,41654,Salaried,731,1579451,Business,32632,78.34,240,79,0
40,96423,Salaried,459,852914,Home,33743,34.99,36,15.1,0
49,44320,Salaried,895,2901341,Home,78538,100,12,100,1
47,35808,Salaried,413,1301521,Business,43386,100,240,0,0
58,67389,Self-Employed,801,3547859,Car,43388,64.38,12,73.1,0
47,133581,Self-Employed,465,2369474,Personal,21323,15.96,36,28.9,0
44,142927,Salaried,474,3470929,Business,69269,48.46,36,31.5,0
30,49773,Salaried,300,4312911,Personal,41319,83.01,240,12.1,0
33,197240,Salaried,385,1388223,Education,67759,34.35,12,15.7,1
22,173819,Salaried,873,3612709,Business,16868,9.7,120,94.7,1
22,91396,Salaried,619,3296824,Car,2080,2.28,24,56.7,1
55,122692,Salaried,700,3184122,Education,13776,11.23,120,47.9,1
53,72505,Salaried,681,3766628,Business,66231,91.35,12,55.4,0
46,100896,Self-Employed,617,3457266,Home,55452,54.96,180,43.4,0
61,33135,Salaried,549,4328639,Business,53812,100,24,49.1,0
22,105887,Salaried,824,667300,Home,63271,59.75,36,97.7,1
37,137118,Self-Employed,854,4326052,Home,77585,56.58,180,100,1
60,62377,Salaried,555,4122660,Business,58542,93.85,36,47.1,0
26,169626,Salaried,606,4931083,Business,15628,9.21,12,58.1,1
43,77491,Salaried,443,3260923,Home,8265,10.67,240,24.6,0
50,73283,Salaried,690,2876207,Personal,24671,33.67,180,61,1
24,31923,Self-Employed,468,4545590,Education,12460,39.03,48,19.4,0
33,62591,Salaried,597,2932760,Car,3477,5.56,180,40.1,1
47,77261,Salaried,532,3267268,Business,2202,2.85,60,27.7,1
37,69336,Salaried,570,1943959,Education,11850,17.09,36,50.8,1
58,89083,Salaried,359,1875779,Education,20809,23.36,12,6.6,0
43,75948,Self-Employed,595,4379266,Personal,70886,93.33,60,43.4,0
50,179074,Self-Employed,766,2999271,Education,2806,1.57,84,61.4,1
35,41672,Salaried,534,2193781,Business,7163,17.19,48,31.7,0
49,19213,Salaried,533,2839879,Education,185,0.96,120,36.5,1
26,156365,Salaried,667,4191042,Business,24718,15.81,36,48.9,1
51,77507,Self-Employed,531,1569546,Business,77081,99.45,120,59.8,0
26,72134,Salaried,790,2105408,Home,56202,77.91,12,70.9,1
33,148172,Salaried,802,1429233,Personal,25215,17.02,120,92.9,1
37,43172,Salaried,891,3802778,Car,28325,65.61,12,97.5,1
47,35132,Salaried,680,3355822,Home,18458,52.54,12,58.8,0
47,33199,Salaried,727,3253669,Car,16006,48.21,24,69.2,0
42,51609,Salaried,663,4151162,Business,32969,63.88,24,60.6,0
60,189037,Salaried,501,3501345,Home,76820,40.64,48,35.3,1
